"Id","poradi","obdobi","datum","schuze","url","cisloHlasovani","celeJmeno","narozeni","HsProcessType","OsobaId","funkce","tema","text","pocetSlov","politiciZminky","temata"
2021_6_00719,719,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006191.htm,,ČR Petr Fiala,,person,petr-fiala,Předseda vlády,68. Žádost vlády České republiky o&nbsp;vyslovení důvěry,"Děkuji. Vážený pane předsedající, vážené paní poslankyně, vážení páni poslanci, děkuji paní předsedkyni Schillerové za tuto výzvu. Je to skutečně vážná situace, kterou se vláda zabývá, a v nějaké fázi jednání Poslanecké sněmovny v tomto týdnu bych nepochybně Poslaneckou sněmovnu informoval. Ale některé věci můžeme říct už teď, a rád to tady udělám, popř. mě pak ještě může s některými konkrétními věcmi doplnit paní ministryně obrany Jana Černochová.
Skutečně čelíme, a to je potřeba říct, jedné z největších hrozeb pro evropskou bezpečnost za poslední desetiletí. Vidíme všichni, že Rusko opakovaně eskaluje situaci ve vztahu k Ukrajině, a to, a to je potřeba říct, přes všechny snahy o dialog, jak ze strany Evropy, tak ze strany Spojených států. A ten dialog, nebo ta snaha o dialog probíhá na různých fórech, bilaterálně například mezi Spojenými státy a Ruskem, multilaterálně v Radě NATO - Rusko, ale také na platformě Organizace pro bezpečnost a spolupráci a jinde. Nicméně tento dialog zatím nevede k těm výsledkům, které bychom si všichni přáli, a zvyšující se přítomnost ozbrojených sil Ruska u hranic s Ukrajinou je prostě realitou. Je to neodůvodněná a neoprávněná aktivita Ruska, ale děje se. Samozřejmě přísun ruských sil k hranici s Ukrajinou je spojen s řadou dalších ruských aktivit a dohromady nám to dává obrázek reálně hrozící významné agrese Ruska proti Ukrajině v nejbližší době, a to je něco, s čím musíme pracovat, i když si to samozřejmě nikdo nepřejeme.
Je potřeba taky říct, že pokud by k jakékoli formě, a to si musíme taky uvědomit, k jakékoli formě ruské agrese vůči Ukrajině došlo, tak to bude mít hluboký a strategický dopad na vztahy s Ruskem, a také na základy a principy, které utvářely evropskou bezpečnost po ukončení studené války. To je potřeba říct otevřeně, a je potřeba taky říct, že takováto situace není v zájmu nikoho. Určitě není v zájmu Evropské unie, není v zájmu České republiky, není v zájmu Spojených států, ale v žádném případě není taky v zájmu Ruska. Proto Česká republika spolu s dalšími spojenci opakovaně vyzývá Rusko, aby začalo uvolňovat napětí a vrátilo se zpátky k rozumnému dialogu.
Pokud jde o Českou republiku, tak my se na situaci připravujeme již delší dobu, naším zájmem je chránit, nebo naším základním cílem je chránit zájmy České republiky a jejích občanů. V zájmu České republiky určitě není jakákoli eskalace toho konfliktu, ale samozřejmě jasně odmítáme jakoukoli agresi ze strany Ruska a věříme a děláme všechno proto, aby to řešení bylo diplomatickou cestou.
Já bych tady teď zmínil asi deset bodů, konkrétních deset bodů, které ukazují, jak situaci sledujeme, řešíme, co chystáme, tak jak se na to paní předsedkyně ptala.
1. Již od prosince se příslušné resorty připravují na nejhorší scénáře konfliktu, za něž samozřejmě považujeme ruskou agresi vůči území Ukrajiny. Řešíme samozřejmě i možný dopad na Českou republiku, a také na otázky pomoci. Touto situací se budeme konkrétně zabývat na Bezpečnostní radě státu, která je svolaná na 1. únor, tedy na příští týden.
2. Dnes se schází krizový štáb Ministerstva zahraničí. O výsledku bude pan ministr Lipavský informovat veřejnost.
3. Podpořili jsme všechny alianční kroky, tedy v rámci Severoatlantické aliance, jsme spolehlivý spojenec v NATO a pevně stojíme za transatlantickou jednotou a myslíme si, že ten společný postup zemí Severoatlantické aliance je tady důležitý.
4. Jsme účastni diskuzí o případných sankcích vůči Rusku, které by nastaly v zesílených sankcích po ruské agresi. Tyto sankce jsou diskutovány nejenom na evropské úrovni, ale samozřejmě zkoordinovány také se Spojenými státy a dalšími partnery. V pondělí jednali ministři zahraničních věcí v Bruselu, telefonicky byli propojeni také s ministrem zahraniční Spojených států Blinkenem a tohoto jednání se účastnil také náš ministr zahraničí Jan Lipavský.
5. Samozřejmě hlavní snaha Severoatlantické aliance, jak už jsem říkal, je zaměřena na diplomatické vyřešení krize. K tomu zejména proběhlo 10. ledna jednání komise NATO - Ukrajina a 12. ledna jednání Rady NATO - Rusko. Obou těchto aktivit se Česká republika účastnila.
6. V rámci reakce na ruskou hrozbu navyšuje Česká republika svůj příspěvek do sil rychlé reakce Severoatlantické aliance a jsme aktivní také na diplomatické úrovni.
7. Situaci kolem Ukrajiny věnovalo pozornost i neformální zasedání ministrů obrany zemí Evropské unie, které se konalo 12. a 13. ledna ve francouzském Brestu. Zde také členské státy podtrhly jednoznačně potřebu jednotného a silného postupu.
8. Příští týden navštíví Českou republiku vrchní velitel ozbrojených sil Ukrajiny. Připravuje se návštěva ministra zahraničí Ukrajiny, která by měla proběhnout někdy v březnu a dubnu. V rámci těchto návštěv by mohlo dojít k podpisu ujednání umožňujícího léčení raněného vojenského personálu Ukrajiny v České republice. Podrobně určitě o tom může mluvit paní ministryně. ***
Neprošlo jazykovou korekturou, neautorizováno !
9. Pokračuje příprava a realizace aktivit zahrnutých v plánu dvoustranné spolupráce mezi ministerstvy obrany obou zemí.
A 10. To, co už proběhlo trošku v médiích, v bilaterální rovině, 26. ledna, tedy zítra, projedná vláda podporu Ukrajině cestou darování vojenského materiálu, tedy dělostřelecké munice. Cílem toho daru je posílení obranyschopnosti Ukrajiny v reakci na její žádost za situace, kdy Ruská federace má u hranic s Ukrajinou silný vojenský potenciál a nelze vyloučit možnou invazi.
Tolik, dámy a pánové, aspoň v několika bodech to, co se odehrává, jaké kroky dělá vláda České republiky, jak se účastníme těch mezinárodních aktivit. A myslím, že to výše uvedené ukazuje, že situaci nepodceňujeme. Děláme vše pro to, abychom ochránili zájmy českých občanů, abychom dostáli spojeneckým závazkům a abychom také zabránili tomu, aby se agresivní politika jakéhokoli státu stala v mezinárodních vztazích přijatelnou normou. My jsme země, která má s vojenskou okupací vlastní zkušenosti, a proto nejsme připraveni něčemu takovému jenom přihlížet, a to i v situaci, kdy se to netýká přímo České republiky, ale ono se nás to týká nepřímo. Naše bezpečnost je tím ohrožena a musíme dělat všechno pro to a děláme všechno pro to, aby se ten spor vyřešil diplomatickými prostředky. A pokud ne, abychom byli připraveni na to, co budeme dělat, pokud by došlo k tomu, co si nikdo nepřeje, a to je agrese Ruska vůči Ukrajině.
",992,
2021_6_00729,729,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006194.htm,,Jan Bartošek,,person,jan-bartosek,Místopředseda PSP,68. Žádost vlády České republiky o&nbsp;vyslovení důvěry,"Já vám děkuji, pane ministře. Výbor pro vědu, vzdělání, kulturu, mládež a tělovýchovu, jemuž byl vládní návrh zákona přikázán, jej z rozhodnutí předsedkyně projednal a přijal usnesení, které vám bylo doručeno jako sněmovní tisk 128/1. Nyní prosím, aby se slova ujala zpravodajka výboru pro vědu, vzdělání, kulturu, mládež a tělovýchovu poslankyně Renáta Zajíčková, informovala nás o projednání tohoto návrhu ve výboru a případné pozměňovací návrhy odůvodnila. Prosím, máte slovo.
",69,,
2021_6_00756,756,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006198.htm,,Alena Schillerová,,person,alena-schillerova,Poslankyně,68. Žádost vlády České republiky o&nbsp;vyslovení důvěry,"Děkuji za slovo, paní místopředsedkyně. Zaznamenala jsem tady během rozpravy několikrát dotaz směrem k panu ministru zdravotnictví. Nechci si brát pauzu, abych to neprotahovala, ale slyšela jsem, že stojí tady někde v předsálí, tak jsem chtěla poprosit jeho kolegy, jestli by ho nepřizvali dovnitř, protože ten zákon určitě souvisí s problémy ve zdravotnictví, dotazovali se někteří poslanci, takže mám velkou prosbu, abych si nebrala pauzu, nechci to natahovat, aby byl sem přizván. Děkuji.
",73,,
2021_6_00761,761,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006198.htm,,Jana Mračková Vildumetzová,,person,jana-mrackova-vildumetzova,Místopředsedkyně PSP,68. Žádost vlády České republiky o&nbsp;vyslovení důvěry,"Děkuji paní poslankyni. Jsme pořád v obecné rozpravě. Nikdo se nepřihlásil s faktickou poznámkou a v tuto chvíli se do obecné rozpravy hlásí Jan Lacina. Než mu předám slovo, tak bych ještě chtěla konstatovat, že pan poslanec Karel Smetana dnes bude hlasovat s náhradní kartou 35. Pane poslanče, máte slovo.
",50,
2021_6_00781,781,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006203.htm,,Jana Mračková Vildumetzová,,person,jana-mrackova-vildumetzova,Místopředsedkyně PSP,68. Žádost vlády České republiky o&nbsp;vyslovení důvěry,"Vážený pane místopředsedo, vážení členové vlády, vážený pane ministře školství, i já bych ráda vystoupila k předložení tohoto zákona o mimořádném ředitelském volnu a mimořádném vzdělání distančním způsobem pro období epidemie onemocnění. Chtěla bych určitě poděkovat za předložení tohoto návrhu a řešení tohoto problému, ať už tady zaznívají reakce na distanční výuku, ale především na to, že ředitel dané školy bude moci vyhlásit deset dní ředitelské volno. A já bych v souvislosti s tím tady ráda otevřela otázku, a to je otázka, která si myslím, že s tím souvisí, a to je otázka ošetřovného. Ošetřovným se samozřejmě zabývá jiný zákon, ale v tuto chvíli se ošetřovné dotýká dětí do deseti let a myslím si, že pokud dojde i k prodloužení této doby a k tomu ředitelskému volnu, tak je otázka, a ráda bych tady otevřela právě diskusi na téma případného navýšení hranice nároku na ošetřovné tak, jak tomu bylo již v minulosti na určité období při jedné vlně covidu, kde se tato hranice navyšovala na určité období na věk 13 let. Ráda bych znala názor pana ministra školství. Trochu mě mrzí, že tady v tuto chvíli není pan ministr práce a sociálních věcí, do jehož kompetence daný zákon spadá. A zároveň bych i chtěla avizovat, že bych ráda, abychom tuto otázku tady otevřeli a popřípadě, pokud bychom na ní našli nebo nenašli shodu, tak já přesto bych chtěla pak v podrobné rozpravě jakoby požádat, zda by bylo možné se touto otázkou zabývat a popřípadě v nějakém krátkém nebo nejkratším časovém úseku předložit novelu zákona která by popřípadě v nějakém časovém rozmezí určila nebo respektive navýšila tu věkovou hranici tak, jako tomu bylo právě v minulosti při té jedné vlně, a to bylo na věk 13 let. Takže budu velmi ráda, pane ministře, pokud i vy se popřípadě k této věci vyjádříte. A já si myslím, že s tím hodně souvisí a z těch regionů se v tuto chvíli ty signály ozývají tak, že si myslím, že i tato otázka je v tuto chvíli namístě, zde ji v tuto chvíli otevřít. Děkuji vám.
",342,,
2021_6_00827,827,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006212.htm,,Renata Oulehlová,,person,renata-oulehlova-1,Poslankyně,60. Návrh na změny ve složení orgánů Poslanecké sněmovny,"Vážený pane předsedající, nešlo mi hlasovací zařízení, jinak bych hlasovala pro. Já byla ta jediná, co se zdržel.
",18,,
2021_6_00832,832,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006212.htm,,Jan Skopeček,,person,jan-skopecek,Místopředseda PSP,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Ano, děkuji za váš úvod. Já otevírám rozpravu a ptám se, zda se někdo hlásí do rozpravy k návrhu na volbu místopředsedy Poslanecké sněmovny. Neeviduji žádnou přihlášku, rozpravu tedy končím a poprosím opět pana předsedu o případné závěrečné slovo, resp. návrh dalšího postupu naší volby.***
Neprošlo jazykovou korekturou, neautorizováno !
",50,,
2021_6_00833,833,2021,2022-01-25,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006213.htm,,Martin Kolovratník,,person,martin-kolovratnik,Poslanec,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Děkuji. Pro jistotu znovu zopakuji způsob vyplňování volebních lístků. Budou na nich dvě jména. Prosím o označení jednoho z kandidátů - pokud se tedy pro jednoho rozhodnete - kolečkem na tom čísle před jménem, a označení druhého křížkem. Samozřejmě je možné i nevolit žádného kandidáta, pokud nechcete, aby váš hlas byl neplatný, měli byste správně označit oba dva. To je ta technikálie. A nyní k vydávání lístků. Myslím, že bude stačit deset minut. Takže prosím volební místnost bude otevřena do 18.20 hodin. Poté prosím dalších deset minut na sčítání lístků a v 18.30 bych mohl vyhlásit výsledky. Pane předsedající, vás tedy poprosím o přerušení schůze na provedení volby.
",108,,
2021_6_00844,844,2021,2022-01-26,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006216.htm,,Jan Bartošek,,person,jan-bartosek,Místopředseda PSP,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Vážené paní poslankyně, vážení páni poslanci, vážení členové vlády, budeme pokračovat po přestávce na jednání klubu hnutí ANO.
Nejprve přečtu omluvy, které ještě dorazily. Dne 26. 1. z pracovních důvodů se omlouvá pan poslanec Julius Špičák, dnes na celý den do konce jednacího dne z pracovních důvodů se omlouvá pan ministr Pavel Blažek a dále dnes od 16 hodin do konce jednacího dne se omlouvá pan poslanec Jiří Strýček.
Než přistoupíme k projednávání bodů podle programu schůze, tak s náhradní kartou číslo 35 bude hlasovat pan poslanec Smetana. S přednostním právem před projednáváním bodu 79 se přihlásila předsedkyně klubu hnutí ANO paní Schillerová. Prosím, máte slovo.
",106,
2021_6_00928,928,2021,2022-01-26,6,http://www.psp.cz/eknih/2021ps/stenprot/006schuz/s006233.htm,,Václav Král,,person,vaclav-kral,Poslanec,61. Návrh na volbu místopředsedy Poslanecké sněmovny,"Děkuji. Dobrý den, dámy a pánové. Já skutečně jako rozený gentleman a řekl bych v tom předobědovém čase jsem dalek toho, abych tady komentoval opatření, která zachrání londýnské metro před olejovými špunty a skutečně tady nechci zejména dámy uvádět do rozpaků, jestli najdeme alternativy k hygienickým vložkám, nebo pány, jestli najdeme nějaké alternativy ke kondomům a podobně. Budu se snažit být maximálně stručný a konstruktivní.
I když mi to není úplně vlastní, tím spíše na tomto místě, tak musím říct, že ta oběhová směrnice Evropské unie, o které už jsme tady několikrát slyšeli, jde správným směrem. Prostě se snaží posouvat to lineární odpadové hospodářství směrem k cirkulární ekonomice.
Musím poděkovat Ministerstvu životního prostředí a minulé Sněmovně za to, že se podařilo po velkých diskusích prosadit nový zákon o odpadech. O tom, že s plasty máme problém, se tady asi nemusíme přesvědčovat. To je jasné, nicméně to, co tady dnes slyšíme, že máme krásně fungující kolektivní systémy a to, že vlastně obce mají příjmy z likvidace odpadů apod., to je pravda, ale na druhou stranu si musíme uvědomit, jaká je faktická situace. Všichni víme, že jsme skládkařskou velmocí, že nám nefunguje transpozice oběhového balíčku jako celku.
Mně, i když jsem vládní poslanec, prostě vadí ta salámová metoda, kterou se postupně dle mého názoru můžeme dostat do neřešitelných situací, protože jednotlivé dílčí právní akty a normy, které tady byť v dobré víře připravujeme, nás mohou dostat do situace, kdy na konci nebudou kompatibilní.
Z toho důvodu si myslím, že projednávat tento zákon v této chvíli není úplně šťastné i vzhledem k tomu, že nemáme dokončený republikový plán odpadového hospodářství, máme otevřený zákon o obalech, chybí nám prováděcí vyhlášky, nemáme nastavený střednědobý výhled Státního fondu životního prostředí apod., spíše volám skutečně po koncepční debatě a obávám se toho, že pokud v dobré víře /jak to zatím vypadá/ ten zákon pošleme dál, tak na výborech /i za svůj výbor můžu slíbit/, přestože tomu budeme dávat maximální péči, se nám prostě nepodaří jednotlivé právní akty připravit tak, aby spolu fungovaly. To je to, co se mi osobně nelíbí.
Nicméně chápu, že je to podstatné a že je potřeba ten zákon poslat dál, přestože tady z úst autorky nebo minulé spoluautorky na Ministerstvu životního prostředí slyšíme, že ona s tím má nějaký problém. Slyšíme tady, že i ostatní kolegové z hnutí ANO sice říkají ano, chceme tento zákon, ale máme významné otázky, takže si myslím, že toto mělo být řešeno skutečně dopředu na Ministerstvu životního prostředí. Byl jsem u meziresortního připomínkového řízení nad tímto zákonem, které samozřejmě proběhlo korektně, vše bylo vypořádáno a bylo citováno (?) částečně, ale přesto všichni vidíme, že tady jsou tyto otázky a obávám se toho, že to tady nepochytáme tak, aby ve finále systém cirkulární ekonomiky fungoval ku prospěchu občanů a životního prostředí. Obávám se toho, že to ve finále, pokud půjdeme tou českou cestou a salámovou metodou, tak že to pocítí jak peněženky tak i zdraví našich spoluobčanů, resp. životní prostředí, protože prostě ty jednotlivé akty spolu nebudou hrát a nebudou souviset.
Nicméně chápu, že Ministerstvo životního prostředí to projednávat chce a vzhledem k vážnosti té tematiky a rozsáhlosti diskuse, která nás nepochybně čeká, budiž toho důkazem i ta dnešní diskuse, tak bych si dovolil navrhnout prodloužení lhůt na projednání ve výborech na 80 dní.
Děkuji.
",546,,
